,loss,val_loss
10,"[1.4327588536237414, 1.422505259513855, 1.4292107475431342, 1.4351888753865893, 1.4239831284472817, 1.432368466728612, 1.4101352566166927, 1.384692038360395, 1.3926955618356402, 1.413632858740656, 1.4051458882658105, 1.4210699467282546, 1.3886935601108952, 1.3750540174935992, 1.396482001794012, 1.3810167955724817, 1.4252021328399056, 1.4086392098351528, 1.403587198571155, 1.354859294075715, 1.3961621303307383, 1.4062349466901076, 1.3939628240309263, 1.3985451020692523, 1.3785996154734963, 1.4097700934661062, 1.4156317538336705, 1.3783263344513743]","[1.6915800905673304, 1.7934473151358488, 1.6650174187722606, 1.7466523446769358, 1.7469977307542461, 1.721998659249778, 1.682569816847828, 1.60470530808529, 1.7345825355743694, 1.6979233728390988, 1.6010768714352188, 1.6807449086804256, 1.6224420839380995, 1.6617801924732243, 1.694583876110683, 1.793585174551634, 1.831605588164285, 1.7328959981971812, 1.6746217012405396, 1.5942363727872617, 1.6111572524097477, 1.7201888605813, 1.724204950243513, 1.663485513669308, 1.7057681139384475, 2.086633481711985, 1.7586451512630854, 1.7026551906193528]"
11,"[1.3718825233610052, 1.489893394081216, 1.4233391065346568, 1.3979370060719942, 1.3913316522773944, 1.3954074429838281, 1.3934997571142096, 1.3860438058250828, 1.3833657456071753, 1.3770423751128347, 1.3717047258427268, 1.4058479509855573, 1.3981661780884391, 1.3860243715737994, 1.3862466074918445, 1.3925319627711648, 1.3895660372156846, 1.3625677227973938, 1.3953260136278052, 1.374700278043747, 1.4642060791191303]","[1.6328251038756325, 1.7616359006578677, 1.7867499523073713, 1.6892032266777253, 1.7167508056230634, 1.7820076942443848, 1.6216744663559388, 1.6565394579807176, 1.6213628421319979, 1.7187779618200856, 1.725222565303339, 1.6751765792614945, 1.644546225806263, 1.6448343747130065, 1.7164152013921292, 1.6302133274969655, 1.6937360262202326, 1.7493098528585702, 1.614049878075858, 1.6280104568071454, 1.613365774956819]"
12,"[1.493440916663722, 1.431122307714663, 1.3933450501216085, 1.406500923006158, 1.3914577772742824, 1.4106490533602865, 1.4438814003216593, 1.429284781217575, 1.4182041820726896, 1.4341882279044704, 1.4097455755660409, 1.377415624104048, 1.370839220912833, 1.3845965297598588, 1.3833274229576713, 1.3966178141142194, 1.3764366209506989, 1.3796645591133518, 1.374599731282184, 1.3614937866988934, 1.403659252743972]","[1.6337202731694016, 1.8372564683450716, 1.6440280798439668, 1.721898568010776, 1.6557850325218986, 1.6705146905417754, 1.675693963175622, 1.6948729541814216, 1.9296467861282491, 1.8327901229680141, 1.6066849443400018, 1.6366954384563126, 1.845183382524508, 1.6581289745936885, 1.7464171714871843, 1.6964269386273678, 1.7490316194908642, 1.7168140299966401, 1.7783942445416316, 1.7643378003735408, 1.8780542834896907]"
13,"[1.3918639813598834, 1.383437084524255, 1.3759641286573912, 1.3731940702388161, 1.3833220773621608, 1.3860850930213928, 1.391118353918979, 1.3850712195823067, 1.3932961398049404, 1.3489983222986524, 1.4011115823921405, 1.3807973187220723, 1.386012155758707, 1.3781771895132566, 1.3782376992075067, 1.3630620633300983, 1.375898412967983, 1.3731621268548464, 1.3722750215153945, 1.375074858728208, 1.3737872980142896, 1.3779472645960356, 1.37343766814784, 1.4143824796927602, 1.360378815939552, 1.3917772126825232, 1.3499325702064915, 1.3445443056131665, 1.4124279633948678, 1.35751652560736, 1.3750714220498736, 1.3680576384067535, 1.3609504009547986, 1.3616681977322227, 1.360349344579797, 1.3530990136297125, 1.3569220539770628, 1.3626402224365033, 1.3616315220531665]","[1.915408912106095, 1.6420523830663378, 1.7291106175039417, 1.7348611544225818, 1.6732827436144107, 1.7399636273072145, 1.6229788922817907, 1.7813495308439309, 1.693183131307085, 1.6409134552857587, 1.7575044487124292, 1.6481436869808446, 1.697965320025649, 1.7679555237850295, 1.7415672507241509, 1.8136000822637683, 1.658646030960796, 1.704836139055056, 1.5824466375547035, 1.6056208822214715, 1.6690699708795993, 1.609384457641673, 1.6190300477999393, 1.6967130086132298, 1.6639129480468893, 1.7859010662987969, 1.6528489834794373, 1.6815983413535858, 1.6273458717025329, 1.6454401851814484, 1.788839049428423, 1.6957048835041366, 1.631534747988264, 1.622172811321009, 1.724822886636324, 1.7540172360767827, 1.8171842031389753, 1.724306288166581, 1.6555818764962882]"
14,"[1.3821121924801876, 1.3782361588980023, 1.3832000431261564, 1.3880519615976434, 1.4234794174370013, 1.4038590882953845, 1.3652410867967104, 1.3628241153139817, 1.3609380816158496, 1.3919422830405987, 1.3838807109155153, 1.3686655226506685, 1.3446468726584786, 1.3527268281108455, 1.35408395371939, 1.3762557365392383, 1.3521745565690493, 1.359428284983886, 1.3644823745677346, 1.3589242367367995, 1.376376371634634]","[1.6577998477721883, 1.721035190831835, 1.7990733619048216, 1.6664461287382608, 1.6505161312138923, 1.6922289277905616, 1.6191416510911745, 1.620889554513949, 1.705880848046775, 1.7076622905018173, 1.6460082920912271, 1.685226896098841, 1.9623408384412249, 1.6537267749554643, 1.6649210207930236, 1.726436668467299, 1.668704919725935, 1.661103208488393, 1.6221590142383753, 1.6749895766516711, 1.7939441248635266]"
15,"[1.3726204288633246, 1.353745510703639, 1.3832084254214638, 1.359688112610265, 1.3494029907803786, 1.3490364457431592, 1.340009789717825, 1.380765326713261, 1.4000075130086196, 1.3900263074197268, 1.3740797795747455, 1.3666262783502277, 1.3629823766256635, 1.33980771742369, 1.370164134000477, 1.3525023178050393, 1.3482988712034727, 1.3655650662748438, 1.351590583198949, 1.3658720552921295, 1.3893334787142904, 1.3529632844422992, 1.3475629875534458, 1.313170644797777, 1.343610521994139, 1.331439788404264, 1.3522052529611086, 1.3466620429566032, 1.373036751621648, 1.356305409418909, 1.3178083504501141, 1.3304752832964848, 1.3502820996861709, 1.3514521592541744, 1.3394528219574375]","[1.7298877673728443, 1.6336566499460523, 1.655028383308482, 1.6678478015917484, 1.630258562408875, 1.7189498961528884, 1.6247309791707547, 1.7507456351663464, 1.675358429133335, 1.6329002402653203, 1.696471984141341, 1.6733656453195018, 1.6807663262447463, 1.8067544409047778, 1.5700037434836414, 1.6277989706146383, 1.5793602488865361, 1.5889885091335973, 1.6221826288187615, 1.6395867851292976, 1.732308405582036, 1.6643830727193958, 1.6684257248851742, 1.591137736757225, 1.7121322489230433, 1.6331643345200013, 1.716950935738109, 1.7055608769443547, 1.6928170406929801, 1.625711995864583, 1.6306264679008555, 1.6526556538644237, 1.7489331370202181, 1.7615953583583654, 1.6935932602837822]"
16,"[1.3447343989422447, 1.3993443454566754, 1.4098843273363615, 1.3733208963745518, 1.3913316083581824, 1.3623818457126617, 1.3468265643245296, 1.3346049518961656, 1.3839805675180334, 1.3595444575736397, 1.347858941868732, 1.3684527732824023, 1.3951299268948405, 1.4002375210586346, 1.3556817597464512, 1.3451841191241616, 1.3394449776724766, 1.3464093302425586, 1.3210793921821995, 1.3128056651667546, 1.3632465757821735]","[1.5765830746320921, 1.622718779840202, 1.655000706699407, 1.6113627502851398, 1.617093106296575, 1.641827049656449, 1.6404943934110838, 1.6896636586322962, 1.6063545697203307, 1.6045693983541471, 1.7784852223975636, 1.7786255963494844, 1.6630413521116025, 1.6653365910610305, 1.6657870985637202, 1.6941941118686, 1.6245633218890039, 1.6408261606626422, 1.6152976138569484, 1.6726931277836594, 1.6562017648019522]"
17,"[1.3470399379730225, 1.365201661461278, 1.3708010660974603, 1.3577753399547778, 1.3449929089922654, 1.3438995590335445, 1.3363496488646458, 1.3343913806112189, 1.3719205166164197, 1.3658456410232342, 1.399763501004169, 1.3679860046035366, 1.3420904968914233, 1.34502753458525, 1.3362556115577096, 1.3477995536829297, 1.3621678352355957, 1.3736153339084827, 1.345355749130249, 1.378166913986206, 1.4079000149902545, 1.3989027801312899, 1.361622093539489, 1.328495900881918, 1.3352874972318347, 1.3335447421199398, 1.3212905494790328, 1.3147382093103308, 1.3280771453129618, 1.3342876732349396, 1.354852152498145, 1.3308406033013995, 1.3402099546633268, 1.3170025364348763, 1.3389662112060345, 1.3353605239014876, 1.3377125263214111, 1.3468082060939388]","[1.6290936971379217, 1.602858075471682, 1.631802865277941, 1.63723832424556, 1.6418172767229169, 1.7034805522900875, 1.7180228812672267, 1.7493494749069214, 1.6181068520679651, 1.6637746719556434, 1.641056380539297, 1.621439882528002, 1.8300855126336357, 1.7085109726290837, 1.6639435837201983, 1.6161118924060716, 1.6398269573104716, 1.5415914615738058, 1.6003896399079083, 1.729077399334061, 1.9456144872112808, 1.769535004535568, 1.6757494467441167, 1.6770866474258566, 1.615360929587177, 1.6259092504733077, 1.6552263810255816, 1.6823521841352231, 1.5884404605794176, 1.7080907130909857, 1.694048971773308, 1.6427225431549215, 1.6923220012789575, 1.8222847385941265, 1.6984400314705395, 1.8199805132696563, 1.6116866965160193, 1.6241496522849965]"
18,"[1.3778183177897805, 1.3829659364725415, 1.3531877398490906, 1.359575447283293, 1.3926294759700173, 1.3516295144432469, 1.3330350628024654, 1.3283568479512866, 1.3458377750296342, 1.357517250274357, 1.3205345273017883, 1.3454543242329045, 1.3395755651750063, 1.3325245066692954, 1.3408864297364886, 1.3437423627627523, 1.3450560083514767, 1.3405989047728086, 1.3218615807985004, 1.3343496416744434, 1.320563797888003, 1.313103608394924, 1.3422438172917617, 1.3495102901207774, 1.332882223944915, 1.3585798473734605]","[1.6504810458031771, 1.672230260394444, 1.683643448018582, 1.690086164207102, 1.731624563163686, 1.5705424424643828, 1.7375633928263299, 1.6573346418755077, 1.7633355298889017, 1.7529755295994125, 1.6854254519828011, 1.7164962347422805, 1.8390137335964452, 1.7450919151306152, 1.6190298795700073, 1.7548457684917984, 1.6938901983688925, 1.5962095761967596, 1.6069628323349998, 1.710666235362258, 1.6818014695265582, 1.6781199045270403, 1.6357902667232762, 1.6191775731951277, 1.567093135040497, 1.6178105724192111]"
19,"[1.3648535389649241, 1.3424848584752334, 1.3370438076947864, 1.389115234738902, 1.3314456202481921, 1.3438781358693774, 1.3154185069234747, 1.3223201507016231, 1.352461044725619, 1.3313370205854114, 1.3270413232477087, 1.314056291391975, 1.3044772257930355, 1.3222112075278634, 1.3243854249778546, 1.3253813417334306, 1.3324378807293742, 1.3403810780299337, 1.3733395918419486, 1.3325122030157792, 1.3676087338673442]","[1.6126251677486385, 1.5959231352137628, 1.5928153980558164, 1.5931076847504233, 1.6365168673969874, 1.63746470937105, 1.5723393787847502, 1.6468237449075573, 1.6273566005385924, 1.6616761238775521, 1.5975565999467796, 1.6292014645638866, 1.5940100979582172, 1.6187461558903489, 1.6641960723377833, 1.5894122658488907, 1.6622337314570061, 1.8045279144126678, 1.7822057777476088, 1.649688034414131, 1.6804726636298348]"
